               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10262,            0.032238,            0.037584,           0.0026975,             0.66667,              0.0038,           0.0007198,            0.068112,             0.02581,            0.027237,              0.0973,              0.0003,              0.0003
                   1,             0.10095,            0.032258,             0.03767,           0.0027938,                0.75,           0.0034022,          0.00072385,             0.06057,            0.024944,            0.026752,            0.093699,          0.00069861,          0.00069861
                   2,            0.095165,            0.031256,            0.038929,           0.0032804,             0.91667,           0.0057264,           0.0014238,            0.055058,            0.024517,            0.026953,            0.090096,           0.0010956,           0.0010956
                   3,            0.081788,            0.035195,            0.036016,           0.0034534,             0.95833,            0.015063,           0.0035026,            0.045492,            0.022337,            0.027878,            0.086491,           0.0014911,           0.0014911
                   4,            0.083601,            0.034573,            0.039865,           0.0029813,             0.83333,            0.017508,            0.005129,            0.046338,             0.02108,            0.027383,            0.082885,            0.001885,            0.001885
                   5,            0.074242,            0.031116,            0.035654,           0.0032551,             0.91667,           0.0086173,           0.0019958,             0.04644,            0.018678,            0.027054,            0.079277,           0.0022772,           0.0022772
                   6,            0.083766,            0.032861,            0.040352,           0.0033723,             0.95833,            0.022008,           0.0069703,            0.042191,            0.018052,            0.026422,            0.075668,           0.0026679,           0.0026679
                   7,            0.052845,            0.030745,            0.029502,           0.0033971,                   1,             0.13375,            0.050236,            0.034553,            0.018348,            0.025946,            0.072057,            0.003057,            0.003057
                   8,            0.046266,            0.035157,            0.028416,           0.0034214,                   1,             0.20575,            0.094806,            0.033508,             0.01646,            0.025461,            0.068445,           0.0034446,           0.0034446
                   9,            0.053594,            0.031041,            0.030533,           0.0033596,                   1,             0.36348,             0.14206,            0.029273,            0.015837,             0.02417,            0.064831,           0.0038305,           0.0038305
                  10,            0.061792,            0.027424,            0.034178,             0.18579,             0.91667,             0.45586,            0.097452,            0.038992,            0.013667,            0.024673,            0.061215,           0.0042149,           0.0042149
                  11,            0.057379,            0.024763,            0.031761,            0.032454,                   1,            0.073319,            0.040121,            0.035167,            0.012691,            0.024225,            0.057598,           0.0045976,           0.0045976
                  12,            0.054416,            0.023747,            0.034797,             0.19885,             0.66667,             0.41279,             0.24363,             0.03088,            0.013152,            0.024252,            0.053979,           0.0049788,           0.0049788
                  13,            0.044684,            0.024943,            0.037496,             0.52763,             0.66667,              0.4123,             0.16966,            0.023635,            0.012781,            0.024207,            0.050358,           0.0053584,           0.0053584
                  14,            0.050317,            0.025646,            0.032225,             0.05903,             0.79167,            0.083861,            0.029558,             0.04101,            0.013027,            0.024115,            0.046736,           0.0057365,           0.0057365
                  15,            0.056731,            0.023694,            0.033944,             0.17895,             0.66667,             0.38142,             0.16088,            0.041407,            0.013039,             0.02374,            0.043113,           0.0061129,           0.0061129
                  16,              0.0557,            0.023163,            0.037489,             0.39509,             0.70833,             0.45156,             0.22151,            0.029112,            0.013921,            0.023383,            0.039488,           0.0064877,           0.0064877
                  17,            0.049965,            0.024075,            0.034552,             0.21049,             0.66667,             0.33459,             0.12901,            0.031721,             0.01161,            0.023181,            0.035861,            0.006861,            0.006861
                  18,            0.057239,            0.020163,            0.035135,             0.14545,                   1,             0.37123,            0.076169,            0.045025,            0.010327,            0.023346,            0.032233,           0.0072327,           0.0072327
                  19,            0.077942,            0.019193,            0.033107,             0.13537,                   1,             0.31792,            0.067844,             0.04533,           0.0099359,            0.023364,            0.028603,           0.0076028,           0.0076028
                  20,            0.053801,            0.017787,            0.030967,             0.25443,               0.625,             0.33118,            0.090181,            0.052703,           0.0082383,            0.023895,            0.024971,           0.0079713,           0.0079713
                  21,            0.072394,            0.015241,            0.037331,             0.18981,             0.78958,             0.30014,            0.088591,            0.047706,            0.007628,             0.02341,            0.021338,           0.0083383,           0.0083383
                  22,            0.067892,            0.017758,            0.033613,             0.22756,               0.875,             0.44375,              0.1973,            0.032743,           0.0088768,            0.023676,            0.017704,           0.0087036,           0.0087036
                  23,            0.063786,             0.01862,             0.03195,             0.22748,             0.83333,             0.42466,             0.14198,            0.037924,           0.0077953,            0.023483,            0.014067,           0.0090674,           0.0090674
                  24,            0.057554,            0.018958,            0.033054,             0.27151,             0.91667,             0.45726,             0.25764,            0.055159,           0.0073004,            0.023465,             0.01043,           0.0094296,           0.0094296
                  25,            0.067797,            0.017299,            0.033513,             0.25805,             0.91667,             0.48855,             0.19775,            0.040862,           0.0075397,            0.023236,            0.009505,            0.009505,            0.009505
